BINARY SubClassOf DrugDelivery MedicalApplication
BINARY is Ductility Class
BINARY SubClassOf Ductility MechanicalProperty
BINARY is EPTFE Class
BINARY SubClassOf EPTFE Biomaterial
BINARY is EffectOnBiologicalSystem Class
BINARY is Elasticty Class
BINARY SubClassOf Elasticty MechanicalProperty
BINARY is Electrospinning Class
BINARY SubClassOf Electrospinning MaterialProcessing
BINARY is Electrospraying Class
BINARY SubClassOf Electrospraying MaterialProcessing
BINARY is ElementalAnalysis Class
BINARY SubClassOf ElementalAnalysis ResearchTechnique
BINARY is Emulsion Class
BINARY SubClassOf Emulsion MaterialProcessing
BINARY is EnzymaticTreatment Class
BINARY SubClassOf EnzymaticTreatment MaterialProcessing
BINARY is Etching Class
BINARY SubClassOf Etching MaterialProcessing
BINARY is ExperimentalScaffold Class
BINARY SubClassOf ExperimentalScaffold ManufacturedObject
BINARY is Extrusion Class
BINARY SubClassOf Extrusion MaterialProcessing
BINARY is FemoroPoplitealBypass Class
BINARY SubClassOf FemoroPoplitealBypass SurgicalProcedure
BINARY is Fiber Class
BINARY SubClassOf Fiber Structure,
BINARY SubClassOf Fiber fibrous_value_true
BINARY is FiberAlignment Class
BINARY SubClassOf FiberAlignment Alignment
BINARY is FiberDiameter Class
BINARY SubClassOf FiberDiameter Diameter
BINARY is Fibronectin Class
BINARY SubClassOf Fibronectin BiologicallyActiveSubstance
BINARY is Filament Class
BINARY SubClassOf Filament Structure
BINARY is Film Class
BINARY SubClassOf Film Structure
BINARY is Flexibility Class
BINARY SubClassOf Flexibility MechanicalProperty,
BINARY SubClassOf Flexibility flexible_value_true
BINARY is Foam Class
BINARY SubClassOf Foam Structure
BINARY is Foaming Class
BINARY SubClassOf Foaming MaterialProcessing
BINARY is Foil Class
BINARY SubClassOf Foil Structure
BINARY is FourierTransformInfraredSpectroscopy Class
BINARY SubClassOf FourierTransformInfraredSpectroscopy ResearchTechnique
BINARY is Fragmentation Class
BINARY SubClassOf Fragmentation DegradationFeatures
BINARY is FreezeDrying Class
BINARY SubClassOf FreezeDrying MaterialProcessing
BINARY is Gel Class
BINARY SubClassOf Gel Structure
BINARY is Gelation Class
BINARY SubClassOf Gelation MaterialProcessing
BINARY is Gelling Class
BINARY SubClassOf Gelling MaterialProcessing
BINARY is GeneExpression Class
BINARY SubClassOf GeneExpression AssociatedBiologicalProcess
BINARY is Geometry Class
BINARY SubClassOf Geometry ManufacturedObjectFeatures
BINARY is Glass-transitionTemperature Class
BINARY SubClassOf Glass-transitionTemperature PhysicalProperty
BINARY is Glue Class
BINARY SubClassOf Glue Adhesive
BINARY is Granule Class
BINARY SubClassOf Granule Structure
BINARY is Groove Class
